"R", "G", "B", "RG", "RB", "GB", "RGB"
0, 0, 91, 0, 74, 44, 0
0, 0, 97, 0, 70, 46, 1
0, 0, 91, 0, 72, 47, 1
0, 0, 94, 0, 73, 45, 1
0, 0, 96, 0, 74, 43, 1
0, 0, 92, 0, 72, 47, 1
0, 0, 96, 0, 72, 45, 0
0, 0, 95, 0, 73, 45, 4
0, 0, 96, 0, 67, 43, 6
0, 0, 102, 0, 71, 40, 4
0, 0, 96, 0, 69, 46, 2
0, 0, 95, 0, 68, 46, 3
0, 0, 93, 0, 75, 44, 4
0, 0, 88, 0, 78, 50, 3
0, 0, 96, 0, 73, 44, 2
0, 0, 97, 0, 70, 45, 1
0, 0, 92, 0, 73, 44, 1
0, 0, 101, 0, 67, 43, 3
0, 0, 95, 0, 69, 50, 3
0, 0, 97, 0, 69, 46, 5
0, 0, 89, 0, 69, 54, 4
0, 0, 90, 0, 70, 53, 5
0, 0, 86, 0, 70, 55, 4
0, 0, 92, 0, 67, 57, 4
0, 0, 94, 0, 65, 52, 5
0, 0, 93, 0, 66, 52, 5
0, 0, 90, 0, 68, 51, 6
0, 0, 99, 0, 69, 49, 5
0, 0, 98, 0, 69, 49, 5
0, 0, 101, 0, 64, 49, 5
0, 0, 92, 0, 70, 49, 5
0, 0, 93, 0, 68, 50, 4
0, 0, 94, 0, 72, 54, 3
0, 0, 100, 0, 65, 55, 4
0, 0, 99, 0, 65, 54, 4
0, 0, 99, 0, 64, 53, 5
0, 0, 90, 0, 71, 55, 4
0, 0, 104, 0, 63, 46, 7
0, 0, 106, 0, 66, 49, 5
0, 0, 91, 0, 66, 54, 4
0, 0, 93, 0, 67, 56, 3
0, 0, 97, 0, 66, 55, 3
0, 0, 98, 0, 69, 52, 3
0, 0, 98, 0, 67, 56, 4
0, 0, 95, 0, 70, 58, 4
0, 0, 95, 0, 70, 60, 3
0, 0, 95, 0, 73, 58, 2
0, 0, 101, 0, 64, 58, 4
0, 0, 92, 0, 70, 56, 3
0, 0, 92, 0, 69, 58, 2
0, 0, 91, 0, 68, 64, 1
0, 0, 96, 0, 67, 59, 2
0, 0, 95, 0, 63, 61, 4
0, 0, 91, 0, 64, 59, 3
0, 0, 97, 0, 64, 63, 2
0, 0, 91, 0, 63, 61, 4
0, 0, 97, 0, 65, 63, 1
0, 0, 103, 0, 58, 58, 4
0, 0, 101, 0, 62, 60, 4
0, 0, 108, 0, 62, 58, 3
0, 0, 98, 0, 66, 62, 3
0, 0, 103, 0, 63, 62, 4
0, 0, 100, 0, 66, 63, 4
0, 0, 97, 0, 65, 66, 3
0, 0, 103, 0, 61, 64, 2
0, 0, 103, 0, 64, 60, 2
0, 0, 104, 0, 61, 64, 2
0, 0, 97, 0, 62, 66, 3
0, 0, 103, 0, 58, 64, 5
0, 0, 98, 0, 59, 64, 4
0, 0, 106, 0, 58, 66, 1
0, 0, 99, 0, 60, 69, 1
0, 0, 104, 0, 59, 67, 1
0, 0, 101, 0, 62, 68, 0
0, 0, 99, 0, 63, 64, 0
0, 0, 98, 0, 60, 67, 3
0, 0, 103, 0, 57, 69, 2
0, 0, 107, 0, 59, 65, 2
0, 0, 104, 0, 60, 68, 2
0, 0, 103, 0, 58, 65, 2
0, 0, 111, 0, 55, 66, 2
0, 0, 114, 0, 56, 63, 2
0, 0, 106, 0, 55, 71, 3
0, 0, 101, 0, 58, 72, 2
0, 0, 114, 0, 55, 67, 1
0, 0, 104, 0, 56, 74, 0
0, 0, 110, 0, 55, 74, 0
0, 0, 113, 0, 55, 73, 1
0, 0, 110, 0, 55, 74, 2
0, 0, 108, 0, 52, 75, 4
0, 0, 110, 0, 53, 72, 5
0, 0, 117, 0, 57, 70, 1
0, 0, 124, 0, 57, 69, 2
0, 0, 120, 0, 55, 70, 3
0, 0, 116, 0, 52, 75, 3
0, 0, 119, 0, 51, 72, 3
0, 0, 116, 0, 52, 78, 2
0, 0, 122, 0, 51, 73, 2
0, 0, 118, 0, 51, 77, 5
0, 0, 120, 0, 51, 75, 2
0, 0, 114, 0, 52, 74, 2
0, 0, 115, 0, 50, 80, 3
0, 0, 114, 0, 50, 74, 4
0, 0, 111, 0, 55, 73, 6
0, 0, 113, 0, 55, 73, 3
0, 0, 122, 0, 51, 73, 3
0, 0, 113, 0, 51, 76, 2
0, 0, 105, 0, 59, 77, 3
0, 0, 112, 0, 55, 76, 3
0, 0, 111, 0, 55, 76, 4
0, 0, 109, 0, 60, 73, 3
0, 0, 116, 0, 58, 73, 3
0, 0, 114, 0, 61, 71, 5
0, 0, 122, 0, 54, 77, 3
