"frame", "color", "size", "intensity", "x_pos", "y_pos", "id"
"0001.tif", "G", 2786, 0.0529049657891456, 361.587939698492, 706.497487437186, 18
"0001.tif", "G", 2882, 0.0599107335491016, 714.746009715475, 804.683553088133, 9
"0001.tif", "G", 2768, 0.0534537297972787, 482.437861271676, 699.063583815029, 60
"0001.tif", "G", 2474, 0.0516508620838182, 1160.96281325788, 697.286176232821, 199
"0001.tif", "G", 2390, 0.0519237626162665, 413.350627615063, 602.405857740586, 24
"0001.tif", "G", 2236, 0.0503373390753073, 1138.73881932021, 894.173524150268, 7
"0001.tif", "G", 2062, 0.0509723496947039, 1000.58292919496, 762.660523763337, 122
"0001.tif", "G", 1978, 0.0500648720745421, 909.171890798787, 725.202224469161, 108
"0001.tif", "G", 2184, 0.0511224220025833, 573.611721611722, 614.328754578755, 1
"0001.tif", "G", 2054, 0.049989731755884, 1084.24245374878, 1370.30087633885, 75
"0001.tif", "G", 2096, 0.0511324850107717, 1204.88740458015, 1108.33969465649, 47
"0001.tif", "G", 2034, 0.0509104142677575, 215.602753195674, 498.385447394297, 5
"0001.tif", "G", 2142, 0.0510219992171109, 582.421101774043, 448.757236227824, 45
"0001.tif", "G", 2438, 0.0523480174068036, 292.384741591468, 873.598031173093, 25
"0001.tif", "G", 1876, 0.0510612098990072, 514.571428571429, 1083.1236673774, 117
"0001.tif", "G", 2272, 0.0502200465462854, 493.635563380282, 455.168133802817, 81
"0001.tif", "G", 1818, 0.0485844037599202, 1389.32783278328, 382.640264026403, 146
"0001.tif", "G", 1676, 0.0488928451786761, 880.80906921241, 818.436754176611, 184
"0001.tif", "G", 1708, 0.0495546604746067, 1187.35480093677, 958.724824355972, 27
"0001.tif", "G", 1600, 0.0482702606114811, 1240.13125, 1442.6975, 193
"0001.tif", "G", 1788, 0.0497861760400595, 793.560402684564, 696.651006711409, 54
"0001.tif", "G", 1768, 0.0482849408566674, 1320.10294117647, 643.340497737557, 71
"0001.tif", "G", 1724, 0.0490410505820505, 815.07656612529, 354.962877030162, 51
"0001.tif", "G", 1716, 0.0495048878098339, 1063.62587412587, 885.268065268065, 40
"0001.tif", "G", 1396, 0.0490226460164832, 880.875358166189, 589.025787965616, 34
"0001.tif", "G", 1162, 0.049845845581269, 765.929432013769, 817.041308089501, 22
"0001.tif", "G", 1204, 0.0471512367447177, 989.098006644518, 1439.83056478405, 4
"0001.tif", "G", 1028, 0.0476935331480349, 1076.36964980545, 590.673151750973, 15
"0001.tif", "G", 1378, 0.0482103488421182, 648.00145137881, 613.470246734398, 177
"0001.tif", "G", 986, 0.0457709466083798, 113.247464503043, 874.202839756592, 64
"0001.tif", "G", 882, 0.0464115050316401, 1394.91836734694, 1059.55328798186, 79
"0001.tif", "G", 806, 0.0488513871237291, 902.866004962779, 978, 109
"0001.tif", "G", 694, 0.0460088583157322, 1312.8530259366, 723.945244956772, 8
"0001.tif", "G", 744, 0.0469180686859953, 714.860215053763, 347.448924731183, 19
"0001.tif", "G", 840, 0.0459071740697616, 113.404761904762, 745.414285714286, 188
"0001.tif", "G", 854, 0.0470179725312855, 342.545667447307, 238.018735362998, 78
"0001.tif", "G", 606, 0.0465828336163674, 140.683168316832, 619.607260726073, 11
"0001.tif", "G", 476, 0.0418427073315046, 1353.69327731092, 63.781512605042, 110
"0001.tif", "G", 506, 0.0479695693950762, 650.699604743083, 671.359683794466, 17
"0001.tif", "G", 292, 0.0475703393691927, 1083.46575342466, 1126.60273972603, 13
"0001.tif", "G", 328, 0.0483628423450525, 804.432926829268, 889.920731707317, 39
"0001.tif", "G", 276, 0.0457603206944331, 497.978260869565, 785.04347826087, 16
